variable_id;NHR;PHARMO;PEDIANET;SIDIAP;Comments;;;;;
F_PODIATRIC_CARE;ND;ND;ND;ND;NA;;;;;
F_AMBULANCE;ND;ND;ND;ND;NA;;;;;
SV_BMI_3YEARS;ND;0;0;0;Missing BMI and rest of code for NHR;;;;;
SV_SMOKING_STATUS;0;0;ND;0;NA;;;;;
SV_AGE;0;0;0;0;NA;;;;;
SV_SEX;0;0;0;0;NA;;;;;
VACC_DATE;0;0;0;0;NA;;;;;
SV_PREG_TRIMESTER;0;0;0;0;NA;;;;;
SV_REGION;0;0;0;0;NA;;;;;
SV_SES_STATUS;0;0;ND;0;NA;;;;;
SV_AGE_CAT;0;0;0;0;NA;;;;;
SV_PREG_STATUS;0;0;0;0;NA;;;;;
SV_PRIOR_COVID_DG;0;0;0;0;NA;;;;;
SV_PRIOR_COVID_POSTEST;0;0;0;0;NA;;;;;
SV_BRAND_COVID_VACC;0;0;0;0;NA;;;;;
SV_HIST_COVID_VACC;0;0;0;0;NA;;;;;
SV_IMMUNOCOMPROMISED;0;0;0;0;NA;;;;;
CDC_RISK;0;0;0;0;NA;;;;;
SV_OBESITY;0;0;0;0;NA;;;;;
COD_GBSYNDROME;0;0;0;0;NA;;;;;
COD_ACUTE_ENCEPHALOMYELITIS;0;0;0;0;NA;;;;;
COD_NARCOLEPSY;0;0;0;0;NA;;;;;
COD_ACUTE_ASEPTIC_ARTHRITIS;0;0;0;0;NA;;;;;
COD_DM1;0;0;0;0;NA;;;;;
COD_ITC;0;0;0;0;NA;;;;;
COD_TTS;0;0;0;0;NA;;;;;
COD_MYOSITIS;0;0;0;0;NA;;;;;
COD_ACUTE_CV_INJURY;0;0;0;0;NA;;;;;
COD_ARRHYTHMIA;0;0;0;0;NA;;;;;
COD_HF;0;0;0;0;NA;;;;;
COD_STRESS_CARDIOMYOPATHY;0;0;0;0;NA;;;;;
COD_CAD;0;0;0;0;NA;;;;;
COD_MYOCARDITIS;0;0;0;0;NA;;;;;
COD_PERICARDITIS;0;0;0;0;NA;;;;;
COD_COAGULATUIN;0;0;0;0;NA;;;;;
COD_SINGLE_ORGAN_VASCULITIS;0;0;0;0;NA;;;;;
COD_CVST;0;0;0;0;NA;;;;;
COD_ACUTE_LIVER_INJURY;0;0;0;0;NA;;;;;
