"var","type","id","cat","parentv","parent_catv","m_id","V1_CONTROL","V1_EXPOSED","V2_CONTROL","V2_EXPOSED","V3_CONTROL","V3_EXPOSED","asd_1"
"Total","NUM",1,"1",NA,NA,NA,"1743","1743",NA,NA,NA,NA,""
"SV_AGE","NUM1",2,"STATS1",NA,NA,1,"49.7837062535858","49.7963281698222","28.5259913031328","28.5413943601365","","","0"
"SV_AGE","NUM1",3,"STATS2",NA,NA,1,"49","49","25","26","73","74","0"
"SV_AGE_CAT","CAT",4,"1",NA,NA,2,"107","107","6.13884107860012","6.13884107860012",NA,NA,"0.028"
"SV_AGE_CAT","CAT",5,"2",NA,NA,2,"67","69","3.84394721744119","3.95869191049914",NA,NA,"0.028"
"SV_AGE_CAT","CAT",6,"3",NA,NA,2,"40","34","2.29489386115892","1.95065978198508",NA,NA,"0.028"
"SV_AGE_CAT","CAT",7,"4",NA,NA,2,"214","214","12.2776821572002","12.2776821572002",NA,NA,"0.028"
"SV_AGE_CAT","CAT",8,"5",NA,NA,2,"184","190","10.556511761331","10.9007458405049",NA,NA,"0.028"
"SV_AGE_CAT","CAT",9,"6",NA,NA,2,"180","184","10.3270223752151","10.556511761331",NA,NA,"0.028"
"SV_AGE_CAT","CAT",10,"7",NA,NA,2,"179","177","10.2696500286862","10.1549053356282",NA,NA,"0.028"
"SV_AGE_CAT","CAT",11,"8",NA,NA,2,"91","90","5.22088353413655","5.16351118760757",NA,NA,"0.028"
"SV_AGE_CAT","CAT",12,"9",NA,NA,2,"86","86","4.93402180149168","4.93402180149168",NA,NA,"0.028"
"SV_AGE_CAT","CAT",13,"10",NA,NA,2,"178","175","10.2122776821572","10.0401606425703",NA,NA,"0.028"
"SV_AGE_CAT","CAT",14,"11",NA,NA,2,"337","338","19.3344807802639","19.3918531267929",NA,NA,"0.028"
"SV_SEX","CAT",15,"F",NA,NA,3,"851","851","48.8238668961561","48.8238668961561",NA,NA,"0"
"POSSIBLE_PREGNANT","TF",16,"TRUE",NA,NA,4,"352","353","20.1950659781985","20.2524383247275",NA,NA,"0.001"
"SV_PREG_STATUS","TF",17,"TRUE","POSSIBLE_PREGNANT",TRUE,5,"0","0","0","0",NA,NA,"0"
"SV_PREG_TRIMESTER","CAT",18,"1","SV_PREG_STATUS",TRUE,6,"0","0",NA,NA,NA,NA,"0"
"SV_PREG_TRIMESTER","CAT",19,"2","SV_PREG_STATUS",TRUE,6,"0","0",NA,NA,NA,NA,"0"
"SV_PREG_TRIMESTER","CAT",20,"3","SV_PREG_STATUS",TRUE,6,"0","0",NA,NA,NA,NA,"0"
"CALENDAR_QUARTER","CAT",21,"2022_3",NA,NA,7,"263","263","15.0889271371199","15.0889271371199",NA,NA,"0"
"CALENDAR_QUARTER","CAT",22,"2022_4",NA,NA,7,"1480","1480","84.9110728628801","84.9110728628801",NA,NA,"0"
"CALENDAR_QUARTER","CAT",23,"2023_1",NA,NA,7,"0","0","0","0",NA,NA,"0"
"CALENDAR_QUARTER","CAT",24,"2023_2",NA,NA,7,"0","0","0","0",NA,NA,"0"
"CALENDAR_QUARTER","CAT",25,"2023_3",NA,NA,7,"0","0","0","0",NA,NA,"0"
"CALENDAR_QUARTER","CAT",26,"2023_4",NA,NA,7,"0","0","0","0",NA,NA,"0"
"CALENDAR_QUARTER","CAT",27,"2024_1",NA,NA,7,"0","0","0","0",NA,NA,"0"
"CALENDAR_QUARTER","CAT",28,"2024_2",NA,NA,7,"0","0","0","0",NA,NA,"0"
"CALENDAR_QUARTER","CAT",29,"2024_3",NA,NA,7,"0","0","0","0",NA,NA,"0"
"SV_SMOKING_STATUS","CAT",30,"0",NA,NA,8,"1738","1739","99.7131382673551","99.7705106138841",NA,NA,"0.011"
"SV_SMOKING_STATUS","CAT",31,"1",NA,NA,8,"0","0","0","0",NA,NA,"0.011"
"SV_SMOKING_STATUS","CAT",32,"2",NA,NA,8,"0","0","0","0",NA,NA,"0.011"
"SV_SMOKING_STATUS","CAT",33,"3",NA,NA,8,"5","4","0.286861732644865","0.229489386115892",NA,NA,"0.011"
"SV_SMOKING_STATUS","CAT",34,"4",NA,NA,8,"0","0","0","0",NA,NA,"0.011"
"SV_BMI_3YEARS","CAT",35,"0",NA,NA,9,"0","0",NA,NA,NA,NA,"0"
"SV_BMI_3YEARS","CAT",36,"1",NA,NA,9,"0","0",NA,NA,NA,NA,"0"
"SV_BMI_3YEARS","CAT",37,"2",NA,NA,9,"0","0",NA,NA,NA,NA,"0"
"SV_BMI_3YEARS","CAT",38,"3",NA,NA,9,"0","0",NA,NA,NA,NA,"0"
"SV_BMI_3YEARS","CAT",39,"4",NA,NA,9,"0","0",NA,NA,NA,NA,"0"
"SV_OBESITY","TF",40,"TRUE",NA,NA,10,"6","5","0.344234079173838","0.286861732644865",NA,NA,"0.01"
"SV_HU_PRIOR_HOSP_NUM","CAT",41,"0",NA,NA,11,"1722","1729","98.7951807228916","99.1967871485944",NA,NA,"0.063"
